Year,Month,Longitude,Latitude
2022.0,12.0,30.48333,-30.83333
2022.0,7.0,-80.9828323,29.1760933
2022.0,7.0,33.8868439,27.0484448
2022.0,1.0,-82.73247233298102,27.529382
2021.0,7.0,-80.16071626913461,27.18588305
2021.0,1.0,140.7004059,-38.0518869
2020.0,5.0,-13.662726,29.076505
2019.0,7.0,-86.8455342,21.1577882
2019.0,6.0,153.5878047,-28.7910334
2019.0,4.0,-81.3931396,30.2946859
2018.0,12.0,-73.60013,41.40537
2018.0,10.0,-80.83783,28.9491539
2018.0,9.0,136.58688005808932,-13.9805252
2018.0,9.0,-88.395939,33.762587
2018.0,4.0,99.98164063084003,12.45357715
2018.0,4.0,-94.936592,29.5696734
2017.0,10.0,-64.7155661,47.7053428
2017.0,10.0,0.5941406,49.6948768
2017.0,8.0,-69.9614174,41.8910565
2017.0,1.0,-34.9033955,-8.1235027
2016.0,7.0,-80.5603303,28.0683496
2016.0,6.0,-78.6800323,33.8278405
2016.0,3.0,150.85451672257915,-34.65930085
2015.0,10.0,-96.077395,32.213296
2015.0,9.0,-81.3931396,30.2946859
2015.0,8.0,-79.0430329,33.5499183
2015.0,6.0,18.460134,-34.321106
2015.0,4.0,-80.114479,26.906457
2015.0,1.0,-79.51973,8.9936
2014.0,8.0,-75.18583328346526,38.14859785
2014.0,7.0,-80.5662467,28.0914926
2012.0,12.0,-157.809503,21.2556924
2012.0,7.0,-125.9075155,49.1538091
2012.0,3.0,-2.2006772,47.2722991
2011.0,12.0,-117.9501108,33.8528031
2011.0,6.0,-87.42592753140273,30.3180487
2011.0,5.0,-4.8588376,55.9483648
2011.0,4.0,14.241523,53.09975
2010.0,9.0,-80.9271271,29.0258132
2010.0,6.0,-94.81164,29.28592
2010.0,2.0,3.681195,50.043186
2010.0,2.0,6.769298,52.294415
2022.0,12.0,72.81433,31.61044
2022.0,6.0,-81.44705548790323,24.664590500000003
2022.0,6.0,-123.859932,49.015233
2022.0,4.0,-80.037993,26.6915
2022.0,2.0,153.1096034,-27.2302079
2021.0,8.0,-80.236368,27.340924
2021.0,4.0,-80.3975399,27.6387163
2021.0,2.0,153.1291502608206,-27.692701999999997
2019.0,4.0,-81.24230475946248,29.738289
2018.0,11.0,-76.52078513640123,24.2707658
2018.0,9.0,-69.9939858892793,41.96148525
2018.0,4.0,-79.27330627976312,25.7032538
2018.0,2.0,145.584528,-38.25656
2017.0,7.0,115.7548327,-31.9310469
2017.0,6.0,145.017809,-38.47098
2017.0,3.0,-80.9271271,29.0258132
2016.0,9.0,-80.9271271,29.0258132
2016.0,8.0,-80.9271271,29.0258132
2015.0,11.0,-80.65060425561052,28.68150735
2015.0,10.0,-80.65060425561052,28.68150735
2015.0,9.0,26.49444,59.39056
2015.0,6.0,-79.78579264102592,32.78677625
2015.0,3.0,-95.494788,29.712913
2015.0,1.0,-87.6716922,38.901711
2014.0,11.0,153.1521065,-30.2059311
2014.0,10.0,-80.59698737553302,28.39213565
2014.0,3.0,-77.7644529,43.3408935
2013.0,10.0,-116.978653,45.790159
2013.0,9.0,-80.5603303,28.0683496
2012.0,10.0,-122.21493,37.0243413
2012.0,9.0,152.900002,-27.378744
2012.0,9.0,-80.5603303,28.0683496
2012.0,7.0,-159.338534,22.009966
2012.0,6.0,-80.0539253,26.8815475
2012.0,5.0,-121.1181443,35.5807058
2012.0,3.0,-70.91799461521902,43.0131133
2012.0,3.0,-80.9271271,29.0258132
2011.0,9.0,-118.565232,34.206102
2011.0,5.0,56.3478105,25.3491721
2011.0,2.0,176.91284,-38.1648
2010.0,8.0,13.4458656,-20.8928349
2010.0,7.0,-80.9271271,29.0258132
2022.0,10.0,-121.925784,36.624975
2022.0,7.0,127.9774759,26.5919599
2022.0,3.0,-80.0569927,26.6159698
2022.0,3.0,-75.9484148,4.3739074
2022.0,3.0,120.85,17.58333
2022.0,2.0,-80.6102592,28.3194741
2020.0,12.0,-156.6414705,21.0158672
2020.0,8.0,-79.9406093,32.6549967
2020.0,7.0,-80.9271271,29.0258132
2020.0,5.0,0.388413,52.620851
2019.0,11.0,34.9983856,32.8191218
2019.0,7.0,-80.9271271,29.0258132
2019.0,5.0,-3.4102137207970724,55.9942296
2019.0,3.0,-80.13991799627857,27.080492
2018.0,8.0,-76.7402108,34.6990505
2018.0,8.0,-94.6389136,29.4572611
2018.0,7.0,-80.9271271,29.0258132
2018.0,5.0,123.87075,-16.39813
2018.0,4.0,-83.75368026091502,41.7187975
2017.0,9.0,153.36534589120652,-29.4095634
2017.0,9.0,-67.80864630668714,44.49765965
2017.0,7.0,-79.1517111,33.3690565
2016.0,12.0,115.75158325035817,-31.8773458
2016.0,9.0,144.2824517159807,-38.36898495
2016.0,3.0,-80.3686621,27.5561462
2016.0,2.0,144.6361724,-40.9338966
2016.0,1.0,-159.5091667,22.21
2015.0,9.0,-118.8928612057692,34.03920555
2014.0,12.0,-18.673522,64.779262
2014.0,11.0,-108.23315,37.442674
2013.0,9.0,-81.0557921,29.2854132
2013.0,3.0,-52.70654176712439,47.5630467
2012.0,10.0,-156.4410367355069,20.6539101
2012.0,8.0,-1.269031,53.118877
2012.0,6.0,-78.426672,33.8943393
2011.0,11.0,153.0961801,-26.4810973
2011.0,10.0,-121.8169383456945,36.62593
2011.0,10.0,-87.6893826,30.2711224
2011.0,8.0,-77.9072081,33.9968399
2011.0,7.0,-34.88194991085768,-8.094506249999998
2011.0,3.0,34.295447,27.8644422
2010.0,12.0,-156.4529879461996,20.8747708
2010.0,12.0,-156.305445,20.788413
2010.0,10.0,136.46139206584118,-35.1547688
2010.0,1.0,142.21892059042744,-10.57864585
2010.0,1.0,27.9244827,-32.9729225
2022.0,8.0,117.9306,-35.08639
2022.0,5.0,120.4267779,15.4409113
2022.0,5.0,-151.76798225053454,-16.5178904
2021.0,12.0,-82.73247233298102,27.529382
2021.0,6.0,-80.9271271,29.0258132
2021.0,4.0,-149.17121147510602,-17.80966095
2021.0,1.0,-80.10971009544465,26.2374724
2020.0,10.0,-77.0382187,34.6653135
2020.0,4.0,-80.6102592,28.3194741
2020.0,3.0,174.7350172,-36.6202005
2019.0,11.0,-80.6102592,28.3194741
2019.0,6.0,-76.8041976009442,25.5394781
2019.0,2.0,136.58688005808932,-13.9805252
2018.0,11.0,9.114271,50.283325
2018.0,9.0,-80.9369983,29.0963729
2018.0,4.0,153.5878047,-28.7910334
2018.0,4.0,-77.38165,39.61427
2018.0,4.0,99.98164063084003,12.45357715
2018.0,4.0,-47.4252319,-23.7074096
2018.0,1.0,-90.6912244,47.9540577
2017.0,4.0,30.48333,-30.83333
2016.0,12.0,-145.1763391639576,-14.63233395
2016.0,2.0,153.4192647873341,-27.8357175
2015.0,6.0,23.380142737891877,-34.045853
2015.0,3.0,34.893817,25.069992
2015.0,3.0,-155.82575643186394,19.99224725
2014.0,12.0,150.6087871232121,-35.173658700000004
2014.0,10.0,-119.985823,34.7136533
2014.0,5.0,152.4793789497159,-32.21646425
2014.0,1.0,-18.673522,64.779262
2012.0,6.0,-78.8900409,33.6956461
2012.0,6.0,-78.8900409,33.6956461
2012.0,5.0,-75.689295,35.215573
2012.0,2.0,18.227222,-31.755556
2011.0,10.0,-3.088846,57.6726898
2011.0,9.0,-159.55876775017003,22.050466550000003
2011.0,3.0,179.96263,-16.16091
2010.0,6.0,-80.4821328,32.3223759
2022.0,12.0,10.130049,50.012041
2022.0,10.0,-159.55876775017003,22.050466550000003
2022.0,7.0,33.8868439,27.0484448
2022.0,2.0,-85.69226196213228,10.5579948
2021.0,7.0,-80.8469427,31.9987321
2021.0,4.0,-80.1635261,25.6968351
2021.0,3.0,-80.1433786,26.1223084
2021.0,3.0,166.5363795991953,-20.40843955
2021.0,1.0,-0.0081294482240402,51.508313099999995
2021.0,1.0,-80.6102592,28.3194741
2020.0,9.0,-156.4491481,20.7247791
2020.0,9.0,-155.839005,19.970122
2020.0,6.0,31.0827778,-29.73
2020.0,5.0,-119.5965173,34.4213845
2020.0,4.0,151.70825447669318,-23.29589265
2020.0,1.0,168.2305268,-46.4387778
2020.0,1.0,-70.1862051,-17.9388968
2019.0,12.0,-156.44973151460266,20.72778925
2019.0,8.0,-80.1433786,26.1223084
2019.0,5.0,-82.26204,26.74896
2019.0,3.0,-155.813889,19.926876
2019.0,2.0,-159.5091667,22.21
2018.0,7.0,-57.621656,-34.26054
2017.0,10.0,152.08121011636692,-32.786596599999996
2017.0,10.0,8.766299,54.385819
2016.0,8.0,55.2265631,-21.0309795
2016.0,7.0,-0.5201291114891506,38.2511969
2016.0,7.0,153.071264,-26.723974
2016.0,5.0,-117.8737398,33.5995916
2015.0,10.0,-94.7933252,29.3056996
2015.0,7.0,141.7858267638407,-38.25569435
2015.0,7.0,55.2881932,-21.1677694
2015.0,6.0,153.5837114938711,-28.6155104
2014.0,12.0,31.009909,-29.861825
2014.0,10.0,-156.44639965521395,20.763395
2014.0,7.0,-16.5527258,28.4151878
2014.0,7.0,107.06400184790972,20.7609394
2014.0,4.0,-80.9271271,29.0258132
2014.0,4.0,149.9850271,-36.7284498
2013.0,11.0,-74.0543036,40.0717828
2013.0,10.0,-156.44189366786708,20.89977655
2013.0,9.0,-80.9271271,29.0258132
2013.0,7.0,-156.4436696461002,20.6905308
2013.0,6.0,-124.20301040108598,47.2059855
2012.0,6.0,115.739269,-31.779677
2011.0,11.0,125.679695,7.063686
2011.0,7.0,-74.61832235823022,39.44065465
2011.0,6.0,30.832794475,-30.22989895
2011.0,5.0,-81.3856384,30.2396865
2011.0,5.0,-81.0557921,29.2854132
2011.0,1.0,29.534373,-31.64071
2010.0,11.0,-69.61487003494634,18.4570748
2010.0,10.0,118.40001739573384,-34.8801321
2010.0,7.0,-79.54626029456522,43.586508
2010.0,5.0,48.255,-13.3
2010.0,2.0,-95.494788,29.712913
2022.0,10.0,-70.3453008,41.6367773
2022.0,7.0,-80.9271271,29.0258132
2022.0,6.0,9.587239,54.479305
2022.0,4.0,7.964385,48.816164
2022.0,2.0,-120.3643817,34.033118
2021.0,12.0,-81.39849379360793,30.3442658
2021.0,10.0,-123.06814965031306,38.33872845
2021.0,4.0,-156.0016667,19.8241667
2021.0,4.0,116.8478592,-20.7370067
2021.0,3.0,-80.0539253,26.8815475
2020.0,11.0,122.2136937,-17.9328115
2020.0,9.0,118.793617,9.8798611
2020.0,7.0,-80.9271271,29.0258132
2020.0,3.0,145.7721854,-16.9206657
2020.0,3.0,179.98988,-16.17127
2019.0,10.0,148.956176,-20.351821
2019.0,5.0,-74.1757169,39.6496005
2019.0,5.0,-7.124961621292175,43.5539156
2019.0,4.0,-155.8897838,19.9154922
2018.0,12.0,174.7899404,-36.3160135
2018.0,10.0,-79.05562,35.836123
2018.0,7.0,-81.3145395,29.8946952
2018.0,7.0,-80.65060425561052,28.68150735
2018.0,2.0,-40.1721991,-19.5687682
2017.0,10.0,-80.03754,26.78506
2017.0,9.0,121.8931606,-33.858228
2016.0,10.0,-123.9858194008117,45.9430675
2016.0,8.0,-81.3800824,30.2274645
2016.0,6.0,-79.83133553033889,32.770151
2016.0,3.0,-156.6221108,20.811858
2015.0,6.0,-78.426672,33.8943393
2015.0,6.0,-80.60851227500001,28.33658225
2015.0,5.0,-147.7122831,-14.9397476
2015.0,3.0,-142.66871,-17.54584
2014.0,10.0,-80.5603303,28.0683496
2014.0,9.0,-80.9271271,29.0258132
2014.0,8.0,-84.9618537,29.6729916
2014.0,8.0,-80.60851227500001,28.33658225
2014.0,2.0,128.49336681367822,-66.66477085
2013.0,7.0,-158.046774,21.305153
2012.0,11.0,153.1131848665925,-26.6852565
2012.0,9.0,-80.60851227500001,28.33658225
2012.0,3.0,152.92949693997366,-31.4463697
2011.0,12.0,9.0107886,48.6872119
2011.0,12.0,-0.3370679567963692,51.416862550000005
2011.0,11.0,-121.4938309,37.0532901
2011.0,7.0,-72.099466,41.321975
2011.0,6.0,-77.43163,34.4901665
2011.0,1.0,-87.8359632,18.2703769
2010.0,8.0,-61.824679,17.108788
2010.0,4.0,-159.5091667,22.21
2022.0,10.0,138.5205924,-35.0322783
2021.0,12.0,171.3987682,-42.1295359
2021.0,9.0,-80.9369983,29.0963729
2021.0,8.0,153.44873819512986,-27.564732900000003
2021.0,7.0,-80.9369983,29.0963729
2021.0,7.0,-74.0259399,40.6292647
2021.0,5.0,138.4473418,-35.2963894
2021.0,5.0,-64.679527,18.347155
2021.0,3.0,-80.3975399,27.6387163
2021.0,1.0,151.61098690621913,-33.0657425
2020.0,8.0,-78.8900409,33.6956461
2020.0,7.0,145.99456274913973,-16.9312865
2020.0,5.0,146.3332122,-18.5275241
2020.0,1.0,121.8931606,-33.858228
2019.0,6.0,-81.0323281,32.0487979
2019.0,2.0,31.7565591,-28.9557332
2019.0,2.0,-80.1635261,25.6968351
2018.0,10.0,-157.8264334,21.2725844
2018.0,10.0,-117.2523168,32.9950303
2018.0,9.0,-117.146651,32.956135
2017.0,11.0,-121.9416932,36.5648881
2017.0,10.0,-13.285824,8.488129
2017.0,8.0,34.63782434339299,25.5685088
2017.0,4.0,-81.3145395,29.8946952
2016.0,12.0,22.513069,-33.981629
2016.0,10.0,-81.41534028069897,30.38425255
2016.0,7.0,147.5234993,-42.9899255
2016.0,5.0,-80.0830984,26.3586885
2016.0,4.0,121.629116,25.100385
2016.0,1.0,56.328537,25.124892
2015.0,9.0,-81.4559,30.61147
2015.0,9.0,98.2934247483523,7.84395745
2015.0,7.0,-77.550022,34.43284
2015.0,4.0,-82.82602787788147,41.65787975
2014.0,12.0,-120.86155658944108,35.293805250000005
2014.0,12.0,-95.603341,35.439468
2014.0,10.0,-119.7006062372549,34.4009409
2014.0,8.0,-77.75808806783176,34.2701077
2014.0,6.0,123.9595243,-16.3789278
2014.0,5.0,-6.699256908842367,53.68197665
2014.0,3.0,-80.0728201,26.4614625
2014.0,2.0,-151.01346965159058,-16.72858845
2013.0,12.0,-70.733441,43.177708
2013.0,11.0,115.755646,-31.875075
2013.0,7.0,-79.7880359,32.7867697
2013.0,4.0,-80.076173,26.526863
2013.0,3.0,-76.1305518,25.0864501
2013.0,1.0,175.79334747708964,-36.609584549999994
2012.0,10.0,-80.13991799627857,27.080492
2012.0,7.0,-70.02105051914985,42.00054875
2012.0,6.0,-156.674697,20.979507
2012.0,3.0,-80.9271271,29.0258132
2011.0,9.0,-78.6800323,33.8278405
2011.0,9.0,-70.733441,43.177708
2011.0,4.0,-80.0650293,26.784343
2010.0,8.0,126.54825445912049,33.38034745
2010.0,7.0,-83.930523,43.662287
2010.0,6.0,109.232667,13.770409
2010.0,6.0,-81.3856384,30.2396865
2010.0,2.0,148.93284326980898,-20.35923885
2022.0,9.0,-81.0903512,24.7137524
2022.0,4.0,-80.6127027095099,24.9362785
2022.0,3.0,-80.9271271,29.0258132
2022.0,1.0,150.6954555348664,-35.1135765
2021.0,7.0,-73.5029044,40.5945469
2021.0,7.0,-47.4252319,-23.7074096
2021.0,1.0,-32.43898607414894,-3.84975155
2020.0,9.0,-74.180857,41.320776
2020.0,9.0,-80.82051123947215,28.888210800000003
2020.0,3.0,-80.9271271,29.0258132
2020.0,2.0,-156.4390415,20.6871749
2019.0,6.0,-77.15528898454684,25.105065850000003
2019.0,5.0,168.27513808830548,-17.0542997
2018.0,12.0,-0.123656797641027,51.5610463
2018.0,9.0,-80.3256056,27.4467056
2018.0,2.0,31.009909,-29.861825
2018.0,1.0,-77.38165,39.61427
2017.0,12.0,-60.86973,14.47212
2017.0,11.0,151.4344444,-33.465
2017.0,9.0,19.131667,-34.388611
2017.0,8.0,174.53333,-35.6
2017.0,7.0,-81.660992,30.369914
2017.0,6.0,-80.0375408,26.7850625
2017.0,6.0,115.638324,-33.327283
2017.0,5.0,141.8710861,-12.6386641
2016.0,10.0,-81.41534028069897,30.38425255
2016.0,10.0,153.1408585072595,-26.80463215
2016.0,9.0,-158.214426,21.461657
2016.0,6.0,-81.1269982,29.4749927
2016.0,6.0,153.5761111,-28.2566667
2016.0,3.0,-81.948145,26.4520248
2015.0,10.0,-83.674656,41.078792
2015.0,7.0,-81.0228331,29.2108147
2014.0,10.0,-80.9271271,29.0258132
2014.0,6.0,-80.330419,32.558715
2013.0,11.0,-80.4970188,27.9462734
2013.0,9.0,-80.9271271,29.0258132
2013.0,8.0,-100.449271,25.664959
2013.0,8.0,-82.1137049,26.440359
2013.0,7.0,145.017809,-38.47098
2013.0,5.0,100.0615581745176,9.49051135
2013.0,1.0,25.59940872903608,-33.93779205
2012.0,12.0,121.49089601107625,22.6562977
2012.0,10.0,-156.44189366786708,20.89977655
2012.0,9.0,-80.9271271,29.0258132
2012.0,9.0,-81.27149,29.844949
2012.0,9.0,-156.40801376699957,20.9089792
2012.0,5.0,-118.327082,33.345158
2012.0,2.0,152.32007141302046,-32.617282
2011.0,12.0,151.2456824,-33.9453441
2011.0,2.0,-53.2212114,3.6240135
2010.0,1.0,109.232667,13.770409
2010.0,1.0,109.232667,13.770409
2022.0,9.0,-70.385003,43.466709
2022.0,7.0,1.717042,52.418576
2022.0,3.0,-89.253418,37.5314386
2022.0,2.0,107.06400184790972,20.7609394
2021.0,1.0,175.943247,-37.4117888
2020.0,12.0,-123.9395774262978,45.9758952
2020.0,11.0,152.91801514286178,-31.428344000000003
2020.0,8.0,-81.288363,29.882931
2020.0,7.0,153.29139863542434,-29.8199535
2020.0,6.0,-75.4729347,35.54018
2020.0,4.0,151.4474949465191,-33.43083205
2020.0,1.0,150.88246121438996,-34.517329450000005
2019.0,5.0,-74.352182,41.153457
2018.0,9.0,-76.949061,18.4069363
2018.0,8.0,-87.842652,42.492155
2018.0,6.0,-81.3994118,31.163622
2018.0,5.0,145.77365282675595,-16.9186011
2018.0,4.0,28.052656464467027,43.30379575
2018.0,3.0,-80.6571157,27.9963768
2018.0,1.0,-143.568626,-16.6205914
2017.0,11.0,-158.21607146723647,21.4665875
2017.0,7.0,-77.67576,43.310804
2017.0,4.0,-151.9311111,59.3547222
2017.0,4.0,-80.5603303,28.0683496
2017.0,4.0,-81.0228331,29.2108147
2016.0,9.0,-81.3800824,30.2274645
2016.0,7.0,-118.396769,33.792396
2016.0,5.0,18.54456,-33.835056
2016.0,3.0,-48.598626,-27.022919
2016.0,1.0,-159.5091667,22.21
2015.0,10.0,102.337624,2.322985
2015.0,8.0,-120.86503268374642,35.39266105
2015.0,8.0,-120.849901,35.3658075
2015.0,8.0,-119.985823,34.7136533
2015.0,5.0,18.8573,10.1183
2014.0,8.0,113.4084344,-24.4774865
2014.0,7.0,-80.9271271,29.0258132
2014.0,5.0,-80.8469427,31.9987321
2013.0,11.0,-156.45654,20.741705
2013.0,10.0,113.8876247,-22.0960185
2013.0,10.0,-156.4956999,20.9208377
2013.0,4.0,153.1880565,-30.1694411
2012.0,11.0,-157.8264334,21.2725844
2012.0,8.0,-146.88331354609022,-15.66136275
2012.0,7.0,136.46139206584118,-35.1547688
2012.0,6.0,-72.220631,21.784315
2012.0,6.0,-78.8900409,33.6956461
2012.0,4.0,-106.729664,34.80613
2012.0,1.0,113.770165,-23.1436752
2011.0,11.0,-54.05608221169366,49.71052315
2011.0,9.0,-120.635061,35.130328
2011.0,8.0,-75.52331203881798,35.2581815
2011.0,8.0,-78.3038892,33.9135061
2011.0,7.0,9.737825273412698,52.37745845
2010.0,10.0,-67.011201,44.914052
2010.0,10.0,-76.96749196517237,26.5288141
2010.0,7.0,-80.0964326,26.192028
2010.0,1.0,-78.65225189487064,33.853809850000005
2010.0,1.0,109.232667,13.770409
2010.0,1.0,9.200036,50.200404
2022.0,10.0,-124.227898,43.377451
2022.0,9.0,-77.17178880647343,24.03980025
2022.0,6.0,-81.57019735010883,24.7552924
2022.0,1.0,151.2942716,-33.690306
2021.0,12.0,-87.70787,18.7165847
2021.0,10.0,-80.2129211,46.0550003
2021.0,7.0,-80.9369983,29.0963729
2020.0,10.0,-53.96063,47.7235
2020.0,9.0,-82.780389,27.920859
2020.0,9.0,-80.25567726584178,27.22089615
2020.0,8.0,-80.81711,35.19534
2020.0,7.0,118.793617,9.8798611
2020.0,5.0,-121.8519513,36.9237571
2019.0,12.0,27.888413,-32.995213
2019.0,7.0,-81.3931396,30.2946859
2019.0,6.0,-76.69236137025939,34.6987266
2018.0,12.0,173.9110995,-35.0339202
2018.0,8.0,-118.0000166,33.6783336
2018.0,5.0,-79.7880359,32.7867697
2018.0,4.0,-156.494229,20.885745
2017.0,5.0,-118.0706056,33.7179231
2017.0,4.0,-81.0557921,29.2854132
2017.0,2.0,-92.35838,34.659278
2017.0,2.0,-32.420733,-3.846635
2017.0,1.0,6.865651,52.483372
2016.0,12.0,-75.155649,39.953265
2016.0,11.0,-156.44740074805583,20.72133105
2016.0,7.0,-118.0823511,33.7277995
2016.0,7.0,145.66854498757334,-16.747201
2016.0,6.0,-159.35172239903682,21.96022935
2016.0,6.0,-94.9369341717906,29.20555215
2016.0,4.0,-143.568626,-16.6205914
